shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
37,258,277,10,6,3,4616,C.H. Robinson,Delivered,99389.87,14771.2,BOAT4072036411,
38,135,140,8,6,3,464,DHL Express,Delivered,81.8,25.52,BOAT1545744812,
39,564,575,2,6,5,2552,UPS Worldwide,Delivered,770.98,114.84,BOAT8799160628,
40,185,193,9,3,3,608,UPS Worldwide,Delivered,33.02,30.4,BOAT4733051855,
41,670,681,1,5,3,3056,CMA CGM,Delivered,881.24,137.52,BOAT7761829572,
42,519,544,16,5,3,1024,Maersk Line,Delivered,240.66,51.2,BOAT1543211054,
43,490,500,5,5,5,784,XPO Logistics,Processing,84.56,39.2,BOAT4212943453,
44,291,305,4,1,1,2512,DHL Express,Processing,719.86,100.48,BOAT8082363614,
45,99,125,10,5,3,512,Kuehne+Nagel,Processing,6056.0,1638.4,BOAT1236093664,
46,64,73,15,5,5,528,CMA CGM,Delivered,128.69,23.76,BOAT5462968603,
47,690,703,10,4,2,768,XPO Logistics,Delivered,5016.46,2457.6,BOAT4972398395,
48,135,157,4,3,4,8272,C.H. Robinson,Delivered,3220.89,330.88,BOAT5899393745,
49,154,176,4,1,1,4488,DHL Express,Delayed,638.91,179.52,BOAT7865842617,Security Check
50,401,412,13,5,4,672,DB Schenker,Delivered,297.79,161.28,BOAT1153768720,
51,542,548,8,4,1,856,CMA CGM,Delivered,88.75,47.08,BOAT2503878530,
52,448,459,16,4,1,3008,UPS Worldwide,Delivered,1150.74,150.4,BOAT2374970914,
53,416,430,6,1,4,5848,Kuehne+Nagel,Delivered,2107.34,251.46,BOAT3038251028,
54,28,38,5,4,4,4816,XPO Logistics,In Transit,1574.13,240.8,BOAT2058489761,
55,138,156,5,2,3,792,Kuehne+Nagel,Delivered,93.33,39.6,BOAT5447440807,
56,697,712,16,1,5,3440,Kuehne+Nagel,Delivered,1375.82,172.0,BOAT2028944639,
57,352,372,4,4,3,6824,C.H. Robinson,In Transit,1477.75,272.96,BOAT7135479742,
58,95,123,2,4,3,1208,Kuehne+Nagel,In Transit,486.91,54.36,BOAT2613808586,
59,542,559,13,3,5,6312,Kuehne+Nagel,Delivered,17664.0,1514.88,BOAT4322472625,
60,307,328,7,4,3,640,FedEx International,Delivered,119.12,38.4,BOAT5126186609,
61,476,491,4,4,2,3552,FedEx International,Delivered,527.61,142.08,BOAT1341611359,
62,320,340,5,6,1,1728,UPS Worldwide,Delivered,641.31,86.4,BOAT2952761913,
63,18,25,3,3,3,1272,Maersk Line,In Transit,356.71,53.42,BOAT7826352269,
64,617,633,7,1,3,552,C.H. Robinson,Delivered,70.83,33.12,BOAT9232223948,
65,659,671,7,4,5,3496,UPS Worldwide,Delivered,817.23,209.76,BOAT1026723849,
66,508,516,9,6,5,784,FedEx International,Delivered,110.15,39.2,BOAT6666524875,
67,160,169,9,4,2,5944,CMA CGM,In Transit,1647.96,297.2,BOAT5600302555,
68,94,104,16,4,3,2056,UPS Worldwide,Delivered,512.97,102.8,BOAT1466199558,
69,217,228,13,3,2,816,DB Schenker,Delivered,1469.95,195.84,BOAT1976154836,
70,80,101,8,3,3,5504,UPS Worldwide,Delivered,2633.84,302.72,BOAT9822374704,
71,185,191,8,5,2,3520,UPS Worldwide,Delivered,667.48,193.6,BOAT4138978721,
72,520,539,15,2,2,264,Maersk Line,Delivered,24.09,11.88,BOAT9944089974,
73,661,666,4,4,4,11464,DHL Express,Delivered,3157.63,458.56,BOAT3191123153,
74,576,582,11,3,2,688,FedEx International,Delivered,1260.26,1444.8,BOAT2811006055,
75,556,569,16,6,2,464,DB Schenker,Delivered,155.41,23.2,BOAT5450448343,
76,418,438,4,1,2,4120,CMA CGM,Delivered,944.05,164.8,BOAT6933859061,
77,527,546,2,4,1,4264,DHL Express,Delivered,750.68,191.88,BOAT6895453160,
78,149,161,10,3,4,1240,FedEx International,Delivered,18537.81,3968.0,BOAT4499971156,
79,412,438,13,3,4,6136,Kuehne+Nagel,Delivered,11035.39,1472.64,BOAT5069130444,
80,280,295,4,4,3,5080,XPO Logistics,Delivered,1550.06,203.2,BOAT7104787751,
81,581,595,13,3,1,4264,Maersk Line,Delivered,5309.26,1023.36,BOAT1302206974,
82,486,501,7,4,3,496,FedEx International,Delayed,80.55,29.76,BOAT3513882401,Mechanical Failure
83,538,558,7,1,4,128,C.H. Robinson,Delivered,32.21,7.68,BOAT1755473517,
84,675,685,14,4,1,4280,DHL Express,Delivered,5251.34,941.6,BOAT1745707280,
85,602,607,8,4,5,368,Maersk Line,Delivered,89.48,20.24,BOAT9522145859,
86,547,565,10,3,3,624,FedEx International,Delivered,3573.81,1996.8,BOAT7189860379,
87,536,546,9,1,2,4544,DHL Express,In Transit,1792.0,227.2,BOAT4377357344,
88,227,247,12,6,2,512,C.H. Robinson,Delivered,322.62,179.2,BOAT1923570483,
89,305,315,1,2,5,1512,DB Schenker,Delivered,365.86,68.04,BOAT4529430519,
90,212,224,13,4,5,4360,FedEx International,Processing,6910.72,1046.4,BOAT9339205305,
91,713,722,15,4,2,4544,DB Schenker,Delivered,592.5,204.48,BOAT4841209376,
92,695,706,4,4,1,5968,DB Schenker,Delivered,845.8,238.72,BOAT4950942326,
93,48,60,13,3,2,760,DB Schenker,Delivered,268.53,182.4,BOAT2798728480,
94,33,42,8,4,5,216,DHL Express,Delayed,43.56,11.88,BOAT3018227977,Mechanical Failure
95,409,422,15,3,5,776,FedEx International,Processing,168.86,34.92,BOAT8373081324,
96,263,278,7,2,3,5680,UPS Worldwide,Delivered,3196.19,340.8,BOAT4799422267,
97,199,222,8,2,4,6048,UPS Worldwide,Delayed,1710.41,332.64,BOAT2160051378,Carrier Capacity
98,611,632,1,1,3,3440,C.H. Robinson,Delayed,1074.67,154.8,BOAT6497900728,Mechanical Failure
99,237,249,14,6,1,504,FedEx International,Delivered,124.06,110.88,BOAT4965888470,
100,127,135,3,4,5,2408,UPS Worldwide,Delivered,477.88,101.14,BOAT3936463347,
101,111,123,6,6,4,896,UPS Worldwide,Delivered,60.75,38.53,BOAT7235355257,
102,680,702,2,6,4,4736,DB Schenker,Delivered,1882.73,213.12,BOAT6990619341,
103,200,207,10,5,2,1168,Kuehne+Nagel,Delivered,23705.6,3737.6,BOAT2228362924,
104,16,41,3,5,3,424,C.H. Robinson,In Transit,131.62,17.81,BOAT1019604798,
105,696,708,10,3,4,752,Kuehne+Nagel,In Transit,4728.03,2406.4,BOAT6099384986,
106,551,565,13,1,2,5528,XPO Logistics,In Transit,11872.95,1326.72,BOAT3701145985,
107,17,23,16,3,2,5040,Maersk Line,Delivered,1428.4,252.0,BOAT4251894892,
108,414,437,9,6,1,5744,Maersk Line,Delivered,2002.41,287.2,BOAT8330861384,
109,268,276,10,1,5,336,DB Schenker,Delivered,3818.58,1075.2,BOAT8452110789,
110,24,33,8,6,3,552,XPO Logistics,Delivered,87.95,30.36,BOAT6717622712,
111,491,514,3,5,1,632,UPS Worldwide,Delivered,220.42,26.54,BOAT5188589260,
112,304,317,12,4,5,3792,XPO Logistics,In Transit,3991.82,1327.2,BOAT4946432805,
113,676,686,2,2,1,4784,XPO Logistics,Delivered,1653.25,215.28,BOAT8601950647,
114,325,337,16,5,2,9256,DB Schenker,Delivered,2243.68,462.8,BOAT1648629662,
115,497,508,9,4,1,6344,DHL Express,Delivered,1124.69,317.2,BOAT5939793232,
116,508,530,3,5,1,2016,Maersk Line,Delayed,342.64,84.67,BOAT9634068319,Customs Clearance
117,704,731,11,6,5,624,Maersk Line,Delivered,1865.59,1310.4,BOAT3519995322,
118,180,189,1,4,2,2824,UPS Worldwide,Delivered,763.39,127.08,BOAT1520368375,
119,41,60,9,4,4,80,XPO Logistics,Delivered,26.41,4.0,BOAT2200014952,
120,593,599,13,1,4,664,Kuehne+Nagel,Delivered,640.77,159.36,BOAT4817075892,
121,522,542,9,5,1,5344,FedEx International,Delivered,1686.99,267.2,BOAT2600750666,
122,80,95,2,5,3,3568,Maersk Line,Delayed,1034.93,160.56,BOAT5811989988,Port Congestion
123,192,198,16,5,1,1792,UPS Worldwide,Delivered,558.69,89.6,BOAT5659257963,
124,96,112,4,3,3,6200,Maersk Line,In Transit,2212.99,248.0,BOAT7917840731,
125,515,528,4,3,1,1120,CMA CGM,In Transit,316.57,44.8,BOAT4033806715,
126,640,654,14,2,3,536,Kuehne+Nagel,Delivered,296.89,117.92,BOAT4226740317,
127,111,132,7,6,2,824,FedEx International,Delivered,85.12,49.44,BOAT8162607486,
128,113,122,1,6,2,2880,DHL Express,Delivered,699.98,129.6,BOAT3686900153,
129,645,661,2,2,2,3528,C.H. Robinson,Delivered,1031.81,158.76,BOAT2956836319,
130,383,395,9,4,1,3640,DB Schenker,Delivered,872.87,182.0,BOAT8567302458,
131,456,464,5,5,5,5728,CMA CGM,Delayed,1051.16,286.4,BOAT2935055577,Port Congestion
132,329,346,13,5,1,5704,C.H. Robinson,Delivered,8072.19,1368.96,BOAT7683601497,
133,562,569,1,1,4,11552,FedEx International,Delivered,3756.48,519.84,BOAT3983379460,
134,557,577,7,6,2,352,DHL Express,Delivered,116.66,21.12,BOAT8114967704,
135,328,338,4,4,1,4512,UPS Worldwide,Delivered,1022.68,180.48,BOAT4248670417,
136,418,440,1,6,1,6336,UPS Worldwide,Delayed,1185.92,285.12,BOAT5447841253,Weather Disruption
137,680,687,12,6,5,728,FedEx International,Delivered,422.55,254.8,BOAT5703956856,
138,250,259,15,6,2,2240,Maersk Line,Delivered,535.65,100.8,BOAT3735247845,
139,428,434,14,2,2,704,Maersk Line,Delivered,132.0,154.88,BOAT5048013212,
140,516,534,6,3,5,120,DB Schenker,Delivered,27.78,5.16,BOAT5218412620,
141,265,275,1,4,1,4800,DB Schenker,Delivered,1376.66,216.0,BOAT9929126136,
142,483,497,1,3,3,3224,DHL Express,Delivered,1143.34,145.08,BOAT3947605675,
143,608,614,8,6,1,448,CMA CGM,In Transit,77.06,24.64,BOAT8960335838,
144,598,614,3,6,5,1904,XPO Logistics,Delivered,675.48,79.97,BOAT9118228220,
145,304,318,10,1,4,4232,DHL Express,Delivered,93252.27,13542.4,BOAT2464929243,
146,582,590,4,1,3,2728,FedEx International,Delivered,616.18,109.12,BOAT4943293018,
147,14,25,6,3,1,432,FedEx International,Delivered,57.08,18.58,BOAT9055186664,
148,391,410,11,5,4,2008,Kuehne+Nagel,Delivered,43177.98,4216.8,BOAT2675870586,
149,645,659,12,4,3,40,DHL Express,In Transit,70.91,14.0,BOAT6164738988,
150,595,607,3,4,2,3928,CMA CGM,Delivered,957.86,164.98,BOAT8545214455,
151,414,451,3,4,3,2560,Kuehne+Nagel,Delayed,802.94,107.52,BOAT3166548470,Port Congestion
152,696,714,9,4,5,456,C.H. Robinson,Delivered,46.76,22.8,BOAT8811265881,
153,427,432,10,4,1,552,Kuehne+Nagel,Delivered,4475.19,1766.4,BOAT6830700438,
154,521,532,10,4,5,192,FedEx International,Delivered,2466.67,614.4,BOAT7746517169,
155,614,627,15,2,1,2696,Kuehne+Nagel,Delivered,575.6,121.32,BOAT9197122046,
156,86,103,7,1,1,808,XPO Logistics,Delivered,86.84,48.48,BOAT2244245933,
157,512,522,14,5,3,4232,DHL Express,Delivered,8178.98,931.04,BOAT9345574065,
158,490,515,9,4,2,456,Maersk Line,Delivered,46.75,22.8,BOAT5175716893,
159,439,461,8,6,2,720,Kuehne+Nagel,Delivered,115.94,39.6,BOAT8959058410,
160,386,397,1,2,2,4840,Kuehne+Nagel,Delivered,1146.04,217.8,BOAT8954079867,
161,208,224,11,6,5,6240,Kuehne+Nagel,Delivered,66068.72,13104.0,BOAT3694544966,
162,90,101,14,5,4,432,DB Schenker,Delivered,131.06,95.04,BOAT5534940717,
163,697,714,3,1,1,5592,C.H. Robinson,Delayed,1248.16,234.86,BOAT6406691646,Mechanical Failure
164,716,722,12,1,2,744,C.H. Robinson,In Transit,310.4,260.4,BOAT1671825824,
165,405,430,8,3,5,3840,CMA CGM,Delivered,1456.12,211.2,BOAT8417417986,
166,179,188,2,3,4,1112,C.H. Robinson,Delivered,286.5,50.04,BOAT2815422821,
167,309,330,2,3,3,1616,DB Schenker,In Transit,498.06,72.72,BOAT3413477605,
168,209,233,2,3,1,6040,DHL Express,Delivered,1508.2,271.8,BOAT3075764056,
169,349,364,13,4,3,1296,XPO Logistics,Processing,1295.23,311.04,BOAT2655596037,
170,407,422,10,3,1,392,XPO Logistics,In Transit,4119.52,1254.4,BOAT1272804667,
171,199,207,1,2,5,3312,XPO Logistics,Delivered,808.1,149.04,BOAT2110517587,
172,304,310,2,4,3,1008,Kuehne+Nagel,Delivered,151.4,45.36,BOAT6158087464,
173,291,311,2,6,2,7392,Kuehne+Nagel,Delivered,2588.76,332.64,BOAT5008880992,
174,298,317,1,4,1,6432,XPO Logistics,Delivered,2744.19,289.44,BOAT7377152839,
175,543,571,1,4,2,1784,CMA CGM,Delayed,385.76,80.28,BOAT4256744288,Security Check
176,470,483,15,6,5,2552,CMA CGM,Delivered,824.4,114.84,BOAT3652627504,
177,351,370,13,4,2,704,DHL Express,Delivered,405.67,168.96,BOAT2700002857,
178,284,293,7,4,5,728,XPO Logistics,Delivered,48.87,43.68,BOAT2823644618,
179,445,451,14,4,2,2448,UPS Worldwide,Delivered,2747.57,538.56,BOAT2870211729,
180,92,108,14,5,2,240,XPO Logistics,Delivered,74.1,52.8,BOAT8019562963,
181,459,473,3,3,2,2512,DB Schenker,In Transit,938.92,105.5,BOAT1877264971,
182,439,451,10,2,1,3928,DB Schenker,Delivered,50558.29,12569.6,BOAT4499835237,
183,246,274,8,1,3,872,UPS Worldwide,Delivered,211.69,47.96,BOAT3649772091,
184,71,78,15,3,4,416,Kuehne+Nagel,Delivered,94.14,18.72,BOAT7490338869,
185,35,45,10,6,2,4016,CMA CGM,In Transit,75821.13,12851.2,BOAT4619564972,
186,482,508,10,3,2,568,DHL Express,Delivered,6876.47,1817.6,BOAT9764661491,
187,588,598,12,1,5,304,Maersk Line,In Transit,194.8,106.4,BOAT6265101525,
188,373,384,16,4,4,9480,FedEx International,Delivered,1794.54,474.0,BOAT5113932946,
189,18,30,6,4,3,3320,Maersk Line,Delivered,611.29,142.76,BOAT7008991490,
190,164,177,12,2,5,488,Maersk Line,Delivered,299.33,170.8,BOAT1181429472,
191,351,358,2,5,4,2736,DHL Express,Delivered,636.96,123.12,BOAT4203298804,
192,282,293,9,6,1,2272,FedEx International,In Transit,586.8,113.6,BOAT1687187319,
193,67,82,4,4,3,3488,C.H. Robinson,Delivered,791.51,139.52,BOAT9486083839,
194,396,403,9,1,4,832,Kuehne+Nagel,Delivered,85.36,41.6,BOAT9703026916,
195,500,526,14,1,1,4568,XPO Logistics,Delivered,8264.65,1004.96,BOAT2154285758,
196,520,532,6,4,2,608,UPS Worldwide,Delivered,51.63,26.14,BOAT6791255616,
197,168,180,4,5,2,8376,XPO Logistics,Delivered,1657.99,335.04,BOAT9791753396,
198,273,299,15,4,2,3248,CMA CGM,In Transit,1155.05,146.16,BOAT3194933034,
199,7,19,8,2,4,1448,XPO Logistics,Delivered,380.46,79.64,BOAT3463123230,
200,676,687,4,4,2,10552,Kuehne+Nagel,Delivered,2877.05,422.08,BOAT8319530802,
201,186,202,15,4,2,280,Kuehne+Nagel,Delayed,25.5,12.6,BOAT8435347297,Documentation Issue
202,223,234,11,5,4,488,FedEx International,In Transit,1093.53,1024.8,BOAT9416050801,
203,668,678,4,4,2,8320,CMA CGM,Delivered,2060.36,332.8,BOAT5756897700,
204,560,567,1,2,5,4880,DB Schenker,Delivered,771.26,219.6,BOAT1869482577,
205,730,731,3,6,2,5312,Kuehne+Nagel,Processing,1060.41,223.1,BOAT2631748734,
206,563,587,2,4,3,3544,DB Schenker,Delayed,857.91,159.48,BOAT1508419584,Documentation Issue
207,335,349,10,1,2,208,Kuehne+Nagel,Delivered,3266.33,665.6,BOAT1136913573,
208,349,361,16,2,4,3520,Maersk Line,Delivered,890.15,176.0,BOAT6211691894,
209,29,48,15,5,4,1304,UPS Worldwide,Delivered,417.53,58.68,BOAT9073973350,
210,495,501,1,4,5,12728,CMA CGM,In Transit,2822.9,572.76,BOAT5976481838,
211,430,451,10,4,2,5808,UPS Worldwide,Delivered,97441.8,18585.6,BOAT2798664317,
212,169,177,13,5,2,968,CMA CGM,Delivered,859.65,232.32,BOAT5124341339,
213,132,141,2,5,1,2984,XPO Logistics,Delayed,499.34,134.28,BOAT9546488472,Mechanical Failure
214,67,95,1,6,3,3144,CMA CGM,In Transit,1443.6,141.48,BOAT4583634258,
215,394,408,13,4,1,3888,XPO Logistics,Delivered,5083.78,933.12,BOAT8520467724,
216,114,138,6,2,3,3336,XPO Logistics,Delivered,1349.01,143.45,BOAT8233881509,
217,38,62,9,1,2,5840,Maersk Line,Delivered,2443.93,292.0,BOAT7290233082,
218,650,663,14,6,5,1632,XPO Logistics,Delivered,1664.03,359.04,BOAT8564882008,
219,644,661,1,2,1,4520,C.H. Robinson,Delivered,1337.03,203.4,BOAT2356489332,
220,534,542,11,1,2,112,CMA CGM,Delivered,975.02,235.2,BOAT8183104686,
221,90,102,13,3,2,5440,Maersk Line,Delivered,10796.83,1305.6,BOAT4605236346,
222,533,547,7,2,5,5720,CMA CGM,Delivered,2469.9,343.2,BOAT1626368348,
223,534,548,3,5,5,2312,DB Schenker,In Transit,389.59,97.1,BOAT5694705709,
224,488,505,1,1,4,9544,CMA CGM,Delayed,1337.69,429.48,BOAT2344885056,Mechanical Failure
225,692,706,1,1,1,1776,FedEx International,Delivered,619.74,79.92,BOAT8528383723,
226,156,172,5,3,5,3120,DB Schenker,Delivered,901.2,156.0,BOAT5458417812,
227,429,434,7,6,2,504,Kuehne+Nagel,Delivered,121.44,30.24,BOAT5501054274,
228,49,75,5,4,2,3576,DB Schenker,Delivered,1708.72,178.8,BOAT4120092279,
229,351,357,13,2,4,744,Maersk Line,Delivered,165.39,178.56,BOAT4309095991,
230,693,699,4,6,3,8120,FedEx International,In Transit,1865.17,324.8,BOAT9937309094,
231,574,587,16,4,1,11048,XPO Logistics,Delayed,3136.85,552.4,BOAT1597025938,Weather Disruption
232,617,629,14,1,2,5016,DHL Express,Delivered,3604.79,1103.52,BOAT5634419660,
233,412,430,12,4,4,792,DHL Express,Delivered,2874.9,277.2,BOAT2251537823,
234,445,453,6,1,2,424,DHL Express,Delivered,44.51,18.23,BOAT9304502200,
235,65,82,4,1,2,1072,DHL Express,Delivered,257.7,42.88,BOAT6128603222,
236,665,675,12,5,3,152,CMA CGM,Delivered,240.44,53.2,BOAT9667259769,
237,380,396,11,3,1,672,UPS Worldwide,Delivered,2657.99,1411.2,BOAT2665258988,
238,54,67,7,5,5,2952,FedEx International,Delivered,1071.56,177.12,BOAT1133715574,
239,722,731,1,1,5,6224,FedEx International,Delivered,1241.85,280.08,BOAT2416486404,
240,374,385,5,5,2,5704,UPS Worldwide,In Transit,1295.41,285.2,BOAT8446181226,
241,458,468,2,2,2,12760,UPS Worldwide,Delivered,3621.53,574.2,BOAT1930137217,
242,582,599,8,4,1,3072,Maersk Line,Delayed,858.36,168.96,BOAT7259612265,Carrier Capacity
243,314,329,6,4,2,6120,C.H. Robinson,Delivered,1943.79,263.16,BOAT2208863271,
244,344,353,4,1,1,3280,Maersk Line,Delivered,992.43,131.2,BOAT3047892237,
245,162,187,4,2,4,2672,FedEx International,Delivered,714.37,106.88,BOAT7721473947,
246,508,518,7,3,2,784,Kuehne+Nagel,Delivered,85.74,47.04,BOAT9535934569,
247,351,359,16,2,5,3488,C.H. Robinson,Delivered,837.09,174.4,BOAT2482987463,
248,462,472,10,6,5,5128,C.H. Robinson,Delayed,76414.29,16409.6,BOAT5018807099,Carrier Capacity
249,298,309,16,1,1,776,DHL Express,Delivered,310.01,38.8,BOAT7489469991,
250,242,264,4,3,2,1496,C.H. Robinson,Delivered,574.78,59.84,BOAT7911671805,
251,23,35,12,3,4,72,FedEx International,Delivered,66.13,25.2,BOAT8873999355,
252,571,583,9,1,3,5472,Kuehne+Nagel,In Transit,1202.09,273.6,BOAT3776413137,
253,115,127,3,4,5,8928,CMA CGM,Processing,2301.48,374.98,BOAT2407009663,
254,706,720,5,4,4,416,CMA CGM,In Transit,43.09,20.8,BOAT9307532236,
255,430,454,11,1,1,3744,FedEx International,Delivered,47749.32,7862.4,BOAT5720421256,
256,108,120,8,5,5,232,XPO Logistics,Delivered,53.16,12.76,BOAT9616055355,
257,630,638,4,2,5,5752,C.H. Robinson,Delivered,828.75,230.08,BOAT5799560371,
258,298,323,5,3,3,504,CMA CGM,Delivered,53.22,25.2,BOAT3270838001,
259,533,538,3,5,3,11832,C.H. Robinson,Delivered,2461.0,496.94,BOAT7649443929,
260,565,579,9,4,1,3216,C.H. Robinson,Delivered,915.69,160.8,BOAT1830555701,
261,704,710,13,6,2,520,XPO Logistics,Delivered,213.64,124.8,BOAT2083049885,
262,202,218,1,4,2,3272,UPS Worldwide,Delivered,683.21,147.24,BOAT7133984380,
263,177,186,1,5,4,10776,FedEx International,In Transit,2977.71,484.92,BOAT1124413253,
264,516,521,12,2,3,3936,XPO Logistics,In Transit,4952.64,1377.6,BOAT3401622178,
265,237,264,5,6,4,3280,UPS Worldwide,Delayed,1409.36,164.0,BOAT3774453070,Weather Disruption
266,354,372,14,2,2,472,Maersk Line,Delivered,129.62,103.84,BOAT1945693595,
267,336,351,9,1,2,1304,FedEx International,In Transit,459.81,65.2,BOAT4873387376,
268,17,22,15,5,2,576,XPO Logistics,In Transit,34.74,25.92,BOAT1608904113,
269,90,101,9,6,2,4240,DB Schenker,Delivered,755.2,212.0,BOAT6466436287,
270,183,197,4,3,2,1472,DHL Express,In Transit,209.02,58.88,BOAT8403457725,
271,120,135,5,2,1,600,DB Schenker,In Transit,59.7,30.0,BOAT9064417433,
272,24,35,4,4,1,1720,DB Schenker,Delivered,268.79,68.8,BOAT7458180424,
273,340,353,4,2,1,3912,C.H. Robinson,Delivered,995.19,156.48,BOAT5330521413,
274,632,643,7,6,3,5512,FedEx International,In Transit,1245.64,330.72,BOAT2301338439,
275,262,272,9,3,2,888,FedEx International,Delivered,64.39,44.4,BOAT7726009837,
276,569,575,15,4,5,2360,DB Schenker,In Transit,647.16,106.2,BOAT4761925336,
277,428,436,12,6,1,1552,DB Schenker,Delivered,3461.78,543.2,BOAT6617246080,
278,346,365,1,4,3,5368,XPO Logistics,Delivered,1982.85,241.56,BOAT8072452223,
279,277,290,3,3,2,6080,DB Schenker,Delivered,884.26,255.36,BOAT6799203838,
280,487,508,6,1,1,4688,C.H. Robinson,Delivered,1592.51,201.58,BOAT4905814753,
281,473,480,5,4,3,2328,DHL Express,Delivered,606.18,116.4,BOAT5385009866,
282,212,218,7,5,3,616,UPS Worldwide,Delivered,111.76,36.96,BOAT1090870317,
283,479,493,4,1,4,12480,Kuehne+Nagel,In Transit,2583.06,499.2,BOAT6348836628,
284,478,500,5,6,2,840,C.H. Robinson,Delivered,98.84,42.0,BOAT2312834599,
285,605,612,1,6,4,1776,Kuehne+Nagel,Delivered,343.14,79.92,BOAT9133917071,
286,99,113,2,4,3,6752,Maersk Line,Delivered,2565.54,303.84,BOAT8064573591,
287,82,99,5,6,1,664,UPS Worldwide,Delivered,82.55,33.2,BOAT1382307210,
288,379,384,3,2,4,3120,Kuehne+Nagel,Delivered,400.65,131.04,BOAT2910748747,
289,554,568,15,3,5,720,XPO Logistics,In Transit,47.89,32.4,BOAT9840903987,
290,59,73,13,1,5,360,XPO Logistics,Delivered,283.14,86.4,BOAT3754049892,
291,425,436,12,3,1,1064,CMA CGM,Delivered,1789.76,372.4,BOAT4717140403,
292,427,452,2,2,1,11168,UPS Worldwide,Delivered,3156.01,502.56,BOAT7859382984,
293,203,208,14,3,4,64,C.H. Robinson,In Transit,31.99,14.08,BOAT1115192932,
294,275,292,8,1,4,5560,C.H. Robinson,Delivered,3140.51,305.8,BOAT1983910621,
295,582,602,1,6,3,3824,DHL Express,Delivered,1045.63,172.08,BOAT7131185091,
296,459,466,2,6,2,3544,DB Schenker,Delivered,577.31,159.48,BOAT3098070004,
297,353,372,9,6,2,296,C.H. Robinson,Delivered,53.82,14.8,BOAT1133215831,
298,496,507,1,2,2,2208,XPO Logistics,Delivered,556.93,99.36,BOAT1351687395,
