sales_id,date_key,product_id,customer_id,quantity_sold,unit_price,discount_pct,discount_amount,gross_revenue,net_revenue,total_cost,profit,profit_margin_pct,order_number
36,553,5,5,296,44.99,5,665.85,13317.04,12651.19,7397.04,5254.15,41.53,BOAT-ORD-202407-354801
37,485,14,2,16,24.99,0,0.0,399.84,399.84,223.84,176.0,44.02,BOAT-ORD-202404-790993
38,442,12,4,56,19.99,5,55.97,1119.44,1063.47,671.44,392.03,36.86,BOAT-ORD-202403-864491
39,56,4,1,208,19.99,0,0.0,4157.92,4157.92,2285.92,1872.0,45.02,BOAT-ORD-202302-939482
40,112,8,2,56,17.99,10,100.74,1007.44,906.7,559.44,347.26,38.3,BOAT-ORD-202304-570405
41,144,14,2,40,24.99,5,49.98,999.6,949.62,559.6,390.02,41.07,BOAT-ORD-202305-361941
42,78,15,5,104,27.99,0,0.0,2910.96,2910.96,1662.96,1248.0,42.87,BOAT-ORD-202303-783823
43,554,1,1,392,34.99,0,0.0,13716.08,13716.08,7444.08,6272.0,45.73,BOAT-ORD-202407-274389
44,417,16,4,224,34.99,5,391.89,7837.76,7445.87,4477.76,2968.11,39.86,BOAT-ORD-202402-161483
45,169,13,1,56,29.99,0,0.0,1679.44,1679.44,951.44,728.0,43.35,BOAT-ORD-202306-922157
46,466,10,4,96,89.99,10,863.9,8639.04,7775.14,5279.04,2496.1,32.1,BOAT-ORD-202404-794022
47,499,5,2,152,44.99,0,0.0,6838.48,6838.48,3798.48,3040.0,44.45,BOAT-ORD-202405-161324
48,594,2,3,32,32.99,0,0.0,1055.68,1055.68,575.68,480.0,45.47,BOAT-ORD-202408-712554
49,489,6,1,264,27.99,0,0.0,7389.36,7389.36,4221.36,3168.0,42.87,BOAT-ORD-202405-992697
50,191,3,5,40,24.99,0,0.0,999.6,999.6,559.6,440.0,44.02,BOAT-ORD-202307-523389
51,123,8,5,160,17.99,0,0.0,2878.4,2878.4,1598.4,1280.0,44.47,BOAT-ORD-202305-749468
52,84,14,5,80,24.99,10,199.92,1999.2,1799.28,1119.2,680.08,37.8,BOAT-ORD-202303-431737
53,268,7,3,64,22.99,0,0.0,1471.36,1471.36,831.36,640.0,43.5,BOAT-ORD-202309-515011
54,135,10,4,48,89.99,0,0.0,4319.52,4319.52,2639.52,1680.0,38.89,BOAT-ORD-202305-109767
55,470,4,1,280,19.99,0,0.0,5597.2,5597.2,3077.2,2520.0,45.02,BOAT-ORD-202404-630458
56,272,5,3,40,44.99,0,0.0,1799.6,1799.6,999.6,800.0,44.45,BOAT-ORD-202309-487477
57,292,6,4,560,27.99,0,0.0,15674.4,15674.4,8954.4,6720.0,42.87,BOAT-ORD-202310-741390
58,670,1,5,312,34.99,0,0.0,10916.88,10916.88,5924.88,4992.0,45.73,BOAT-ORD-202410-240814
59,271,4,1,384,19.99,10,767.62,7676.16,6908.54,4220.16,2688.38,38.91,BOAT-ORD-202309-262998
60,279,10,5,56,89.99,0,0.0,5039.44,5039.44,3079.44,1960.0,38.89,BOAT-ORD-202310-313487
61,704,9,5,256,12.99,5,166.27,3325.44,3159.17,1789.44,1369.73,43.36,BOAT-ORD-202412-987204
62,53,3,4,144,24.99,0,0.0,3598.56,3598.56,2014.56,1584.0,44.02,BOAT-ORD-202302-103717
63,342,5,3,168,44.99,20,1511.66,7558.32,6046.66,4198.32,1848.34,30.57,BOAT-ORD-202312-563298
64,565,14,5,8,24.99,0,0.0,199.92,199.92,111.92,88.0,44.02,BOAT-ORD-202407-178898
65,708,5,5,40,44.99,25,449.9,1799.6,1349.7,999.6,350.1,25.94,BOAT-ORD-202412-487151
66,597,5,4,72,44.99,0,0.0,3239.28,3239.28,1799.28,1440.0,44.45,BOAT-ORD-202408-423232
67,374,2,3,112,32.99,20,738.98,3694.88,2955.9,2014.88,941.02,31.84,BOAT-ORD-202401-361650
68,683,4,3,424,19.99,15,1271.36,8475.76,7204.4,4659.76,2544.64,35.32,BOAT-ORD-202411-885884
69,159,8,2,208,17.99,0,0.0,3741.92,3741.92,2077.92,1664.0,44.47,BOAT-ORD-202306-532322
70,26,6,3,216,27.99,25,1511.46,6045.84,4534.38,3453.84,1080.54,23.83,BOAT-ORD-202301-802448
71,255,9,2,208,12.99,0,0.0,2701.92,2701.92,1453.92,1248.0,46.19,BOAT-ORD-202309-501124
72,40,16,2,208,34.99,5,363.9,7277.92,6914.02,4157.92,2756.1,39.86,BOAT-ORD-202302-466643
73,313,8,2,16,17.99,20,57.57,287.84,230.27,159.84,70.43,30.59,BOAT-ORD-202311-302511
74,409,11,3,112,64.99,0,0.0,7278.88,7278.88,4478.88,2800.0,38.47,BOAT-ORD-202402-910891
75,286,12,5,104,19.99,10,207.9,2078.96,1871.06,1246.96,624.1,33.36,BOAT-ORD-202310-447235
76,29,4,3,96,19.99,15,287.86,1919.04,1631.18,1055.04,576.14,35.32,BOAT-ORD-202301-378361
77,40,4,5,224,19.99,0,0.0,4477.76,4477.76,2461.76,2016.0,45.02,BOAT-ORD-202302-863934
78,322,14,5,32,24.99,10,79.97,799.68,719.71,447.68,272.03,37.8,BOAT-ORD-202311-704596
79,195,9,1,184,12.99,5,119.51,2390.16,2270.65,1286.16,984.49,43.36,BOAT-ORD-202307-101773
80,533,7,3,112,22.99,0,0.0,2574.88,2574.88,1454.88,1120.0,43.5,BOAT-ORD-202406-796503
81,339,11,1,80,64.99,15,779.88,5199.2,4419.32,3199.2,1220.12,27.61,BOAT-ORD-202312-424308
82,683,14,3,104,24.99,20,519.79,2598.96,2079.17,1454.96,624.21,30.02,BOAT-ORD-202411-410016
83,568,5,2,216,44.99,5,485.89,9717.84,9231.95,5397.84,3834.11,41.53,BOAT-ORD-202407-810219
84,179,10,4,72,89.99,0,0.0,6479.28,6479.28,3959.28,2520.0,38.89,BOAT-ORD-202306-418635
85,294,7,4,304,22.99,10,698.9,6988.96,6290.06,3948.96,2341.1,37.22,BOAT-ORD-202310-786508
86,330,15,4,456,27.99,20,2552.69,12763.44,10210.75,7291.44,2919.31,28.59,BOAT-ORD-202311-324082
87,524,16,2,88,34.99,0,0.0,3079.12,3079.12,1759.12,1320.0,42.87,BOAT-ORD-202406-640490
88,680,11,1,64,64.99,20,831.87,4159.36,3327.49,2559.36,768.13,23.08,BOAT-ORD-202411-425498
89,231,7,2,8,22.99,0,0.0,183.92,183.92,103.92,80.0,43.5,BOAT-ORD-202308-356736
90,487,3,4,216,24.99,10,539.78,5397.84,4858.06,3021.84,1836.22,37.8,BOAT-ORD-202405-303880
91,714,13,4,104,29.99,0,0.0,3118.96,3118.96,1766.96,1352.0,43.35,BOAT-ORD-202412-254739
92,672,1,1,440,34.99,0,0.0,15395.6,15395.6,8355.6,7040.0,45.73,BOAT-ORD-202411-284430
93,713,15,1,576,27.99,0,0.0,16122.24,16122.24,9210.24,6912.0,42.87,BOAT-ORD-202412-989545
94,125,15,2,480,27.99,10,1343.52,13435.2,12091.68,7675.2,4416.48,36.52,BOAT-ORD-202305-686075
95,610,11,4,80,64.99,10,519.92,5199.2,4679.28,3199.2,1480.08,31.63,BOAT-ORD-202409-547470
96,562,15,2,488,27.99,5,682.96,13659.12,12976.16,7803.12,5173.04,39.87,BOAT-ORD-202407-371782
97,254,9,5,128,12.99,0,0.0,1662.72,1662.72,894.72,768.0,46.19,BOAT-ORD-202309-387936
98,451,3,3,128,24.99,0,0.0,3198.72,3198.72,1790.72,1408.0,44.02,BOAT-ORD-202403-452161
99,328,3,2,160,24.99,0,0.0,3998.4,3998.4,2238.4,1760.0,44.02,BOAT-ORD-202311-501641
100,711,5,2,72,44.99,10,323.93,3239.28,2915.35,1799.28,1116.07,38.28,BOAT-ORD-202412-527398
101,339,15,4,64,27.99,0,0.0,1791.36,1791.36,1023.36,768.0,42.87,BOAT-ORD-202312-973349
102,431,13,5,96,29.99,0,0.0,2879.04,2879.04,1631.04,1248.0,43.35,BOAT-ORD-202403-998348
103,590,13,4,8,29.99,0,0.0,239.92,239.92,135.92,104.0,43.35,BOAT-ORD-202408-413118
104,400,14,5,96,24.99,10,239.9,2399.04,2159.14,1343.04,816.1,37.8,BOAT-ORD-202402-938722
105,618,8,4,64,17.99,0,0.0,1151.36,1151.36,639.36,512.0,44.47,BOAT-ORD-202409-557007
106,498,1,4,176,34.99,5,307.91,6158.24,5850.33,3342.24,2508.09,42.87,BOAT-ORD-202405-859359
107,170,15,2,640,27.99,10,1791.36,17913.6,16122.24,10233.6,5888.64,36.52,BOAT-ORD-202306-128276
108,404,1,1,336,34.99,5,587.83,11756.64,11168.81,6380.64,4788.17,42.87,BOAT-ORD-202402-242291
109,473,6,1,136,27.99,5,190.33,3806.64,3616.31,2174.64,1441.67,39.87,BOAT-ORD-202404-443254
110,217,15,3,352,27.99,5,492.62,9852.48,9359.86,5628.48,3731.38,39.87,BOAT-ORD-202308-391773
111,432,9,1,128,12.99,0,0.0,1662.72,1662.72,894.72,768.0,46.19,BOAT-ORD-202403-885408
112,553,2,3,120,32.99,0,0.0,3958.8,3958.8,2158.8,1800.0,45.47,BOAT-ORD-202407-919182
113,668,2,1,256,32.99,0,0.0,8445.44,8445.44,4605.44,3840.0,45.47,BOAT-ORD-202410-979995
114,21,5,2,72,44.99,10,323.93,3239.28,2915.35,1799.28,1116.07,38.28,BOAT-ORD-202301-801978
115,118,7,4,184,22.99,0,0.0,4230.16,4230.16,2390.16,1840.0,43.5,BOAT-ORD-202304-904150
116,378,6,5,312,27.99,20,1746.58,8732.88,6986.3,4988.88,1997.42,28.59,BOAT-ORD-202401-853252
117,118,6,3,56,27.99,10,156.74,1567.44,1410.7,895.44,515.26,36.53,BOAT-ORD-202304-126925
118,320,13,4,56,29.99,0,0.0,1679.44,1679.44,951.44,728.0,43.35,BOAT-ORD-202311-720859
119,708,8,1,160,17.99,25,719.6,2878.4,2158.8,1598.4,560.4,25.96,BOAT-ORD-202412-817497
120,615,4,5,24,19.99,0,0.0,479.76,479.76,263.76,216.0,45.02,BOAT-ORD-202409-658623
121,439,12,1,72,19.99,0,0.0,1439.28,1439.28,863.28,576.0,40.02,BOAT-ORD-202403-113266
122,431,16,1,448,34.99,0,0.0,15675.52,15675.52,8955.52,6720.0,42.87,BOAT-ORD-202403-766459
123,471,5,4,96,44.99,10,431.9,4319.04,3887.14,2399.04,1488.1,38.28,BOAT-ORD-202404-782054
124,277,16,4,448,34.99,10,1567.55,15675.52,14107.97,8955.52,5152.45,36.52,BOAT-ORD-202310-381433
125,331,8,1,144,17.99,10,259.06,2590.56,2331.5,1438.56,892.94,38.3,BOAT-ORD-202311-355709
126,476,13,3,8,29.99,5,12.0,239.92,227.92,135.92,92.0,40.37,BOAT-ORD-202404-992288
127,333,6,4,224,27.99,5,313.49,6269.76,5956.27,3581.76,2374.51,39.87,BOAT-ORD-202311-936587
128,265,11,3,120,64.99,10,779.88,7798.8,7018.92,4798.8,2220.12,31.63,BOAT-ORD-202309-835244
129,283,1,5,200,34.99,0,0.0,6998.0,6998.0,3798.0,3200.0,45.73,BOAT-ORD-202310-353080
130,417,16,5,248,34.99,5,433.88,8677.52,8243.64,4957.52,3286.12,39.86,BOAT-ORD-202402-777278
131,729,16,4,816,34.99,0,0.0,28551.84,28551.84,16311.84,12240.0,42.87,BOAT-ORD-202412-197573
132,302,8,4,128,17.99,0,0.0,2302.72,2302.72,1278.72,1024.0,44.47,BOAT-ORD-202310-796212
133,596,12,4,72,19.99,10,143.93,1439.28,1295.35,863.28,432.07,33.36,BOAT-ORD-202408-460455
134,436,11,3,96,64.99,5,311.95,6239.04,5927.09,3839.04,2088.05,35.23,BOAT-ORD-202403-384076
135,314,9,2,64,12.99,20,166.27,831.36,665.09,447.36,217.73,32.74,BOAT-ORD-202311-301939
136,324,4,5,192,19.99,0,0.0,3838.08,3838.08,2110.08,1728.0,45.02,BOAT-ORD-202311-326895
137,496,9,5,200,12.99,10,259.8,2598.0,2338.2,1398.0,940.2,40.21,BOAT-ORD-202405-725780
138,290,4,2,304,19.99,0,0.0,6076.96,6076.96,3340.96,2736.0,45.02,BOAT-ORD-202310-478411
139,184,10,1,96,89.99,10,863.9,8639.04,7775.14,5279.04,2496.1,32.1,BOAT-ORD-202307-232731
140,281,2,1,304,32.99,0,0.0,10028.96,10028.96,5468.96,4560.0,45.47,BOAT-ORD-202310-768854
141,503,4,1,296,19.99,0,0.0,5917.04,5917.04,3253.04,2664.0,45.02,BOAT-ORD-202405-592198
142,491,15,3,192,27.99,0,0.0,5374.08,5374.08,3070.08,2304.0,42.87,BOAT-ORD-202405-364742
143,490,4,1,208,19.99,5,207.9,4157.92,3950.02,2285.92,1664.1,42.13,BOAT-ORD-202405-177680
144,591,2,2,80,32.99,10,263.92,2639.2,2375.28,1439.2,936.08,39.41,BOAT-ORD-202408-418594
145,88,8,1,144,17.99,5,129.53,2590.56,2461.03,1438.56,1022.47,41.55,BOAT-ORD-202303-735770
146,611,8,5,104,17.99,5,93.55,1870.96,1777.41,1038.96,738.45,41.55,BOAT-ORD-202409-564226
147,305,14,3,16,24.99,15,59.98,399.84,339.86,223.84,116.02,34.14,BOAT-ORD-202311-876039
148,102,7,2,72,22.99,0,0.0,1655.28,1655.28,935.28,720.0,43.5,BOAT-ORD-202304-264686
149,246,6,5,40,27.99,0,0.0,1119.6,1119.6,639.6,480.0,42.87,BOAT-ORD-202309-102805
150,419,15,5,488,27.99,0,0.0,13659.12,13659.12,7803.12,5856.0,42.87,BOAT-ORD-202402-134225
151,238,10,3,96,89.99,5,431.95,8639.04,8207.09,5279.04,2928.05,35.68,BOAT-ORD-202308-174637
152,704,8,3,328,17.99,15,885.11,5900.72,5015.61,3276.72,1738.89,34.67,BOAT-ORD-202412-793300
153,203,14,1,72,24.99,0,0.0,1799.28,1799.28,1007.28,792.0,44.02,BOAT-ORD-202307-779094
154,153,9,2,24,12.99,0,0.0,311.76,311.76,167.76,144.0,46.19,BOAT-ORD-202306-273982
155,315,10,4,32,89.99,10,287.97,2879.68,2591.71,1759.68,832.03,32.1,BOAT-ORD-202311-822131
156,312,13,3,128,29.99,10,383.87,3838.72,3454.85,2174.72,1280.13,37.05,BOAT-ORD-202311-184349
157,613,2,4,384,32.99,0,0.0,12668.16,12668.16,6908.16,5760.0,45.47,BOAT-ORD-202409-733039
158,257,1,1,120,34.99,10,419.88,4198.8,3778.92,2278.8,1500.12,39.7,BOAT-ORD-202309-715643
159,22,9,5,16,12.99,25,51.96,207.84,155.88,111.84,44.04,28.25,BOAT-ORD-202301-893005
160,180,16,5,456,34.99,0,0.0,15955.44,15955.44,9115.44,6840.0,42.87,BOAT-ORD-202306-290305
161,600,14,4,16,24.99,5,19.99,399.84,379.85,223.84,156.01,41.07,BOAT-ORD-202408-464863
162,419,11,3,88,64.99,0,0.0,5719.12,5719.12,3519.12,2200.0,38.47,BOAT-ORD-202402-999398
163,165,11,4,96,64.99,5,311.95,6239.04,5927.09,3839.04,2088.05,35.23,BOAT-ORD-202306-402218
164,679,13,5,16,29.99,10,47.98,479.84,431.86,271.84,160.02,37.05,BOAT-ORD-202411-192337
165,323,9,3,64,12.99,25,207.84,831.36,623.52,447.36,176.16,28.25,BOAT-ORD-202311-523808
166,527,1,5,240,34.99,5,419.88,8397.6,7977.72,4557.6,3420.12,42.87,BOAT-ORD-202406-156837
167,193,12,5,104,19.99,5,103.95,2078.96,1975.01,1246.96,728.05,36.86,BOAT-ORD-202307-755788
168,453,2,2,144,32.99,10,475.06,4750.56,4275.5,2590.56,1684.94,39.41,BOAT-ORD-202403-237377
169,295,15,4,128,27.99,0,0.0,3582.72,3582.72,2046.72,1536.0,42.87,BOAT-ORD-202310-760626
170,624,8,2,80,17.99,10,143.92,1439.2,1295.28,799.2,496.08,38.3,BOAT-ORD-202409-114338
171,566,14,1,32,24.99,0,0.0,799.68,799.68,447.68,352.0,44.02,BOAT-ORD-202407-583863
172,121,5,4,368,44.99,0,0.0,16556.32,16556.32,9196.32,7360.0,44.45,BOAT-ORD-202305-633590
173,723,9,4,248,12.99,10,322.15,3221.52,2899.37,1733.52,1165.85,40.21,BOAT-ORD-202412-355570
174,468,5,4,104,44.99,10,467.9,4678.96,4211.06,2598.96,1612.1,38.28,BOAT-ORD-202404-632929
175,140,3,3,400,24.99,5,499.8,9996.0,9496.2,5596.0,3900.2,41.07,BOAT-ORD-202305-456385
176,520,9,1,80,12.99,0,0.0,1039.2,1039.2,559.2,480.0,46.19,BOAT-ORD-202406-978157
177,602,16,2,464,34.99,10,1623.54,16235.36,14611.82,9275.36,5336.46,36.52,BOAT-ORD-202408-607868
178,354,11,5,144,64.99,10,935.86,9358.56,8422.7,5758.56,2664.14,31.63,BOAT-ORD-202312-577463
179,330,7,2,296,22.99,10,680.5,6805.04,6124.54,3845.04,2279.5,37.22,BOAT-ORD-202311-344907
180,421,2,3,384,32.99,5,633.41,12668.16,12034.75,6908.16,5126.59,42.6,BOAT-ORD-202402-839485
181,391,13,2,64,29.99,0,0.0,1919.36,1919.36,1087.36,832.0,43.35,BOAT-ORD-202401-232378
182,515,11,1,112,64.99,5,363.94,7278.88,6914.94,4478.88,2436.06,35.23,BOAT-ORD-202405-204555
183,539,15,1,152,27.99,5,212.72,4254.48,4041.76,2430.48,1611.28,39.87,BOAT-ORD-202406-786587
184,159,3,4,136,24.99,0,0.0,3398.64,3398.64,1902.64,1496.0,44.02,BOAT-ORD-202306-753534
185,710,13,1,88,29.99,25,659.78,2639.12,1979.34,1495.12,484.22,24.46,BOAT-ORD-202412-807115
186,547,13,3,88,29.99,5,131.96,2639.12,2507.16,1495.12,1012.04,40.37,BOAT-ORD-202406-667296
187,37,3,2,328,24.99,0,0.0,8196.72,8196.72,4588.72,3608.0,44.02,BOAT-ORD-202302-338536
188,93,14,1,88,24.99,0,0.0,2199.12,2199.12,1231.12,968.0,44.02,BOAT-ORD-202304-565230
189,171,10,1,8,89.99,0,0.0,719.92,719.92,439.92,280.0,38.89,BOAT-ORD-202306-934816
190,58,10,3,48,89.99,5,215.98,4319.52,4103.54,2639.52,1464.02,35.68,BOAT-ORD-202302-252640
191,251,14,5,88,24.99,0,0.0,2199.12,2199.12,1231.12,968.0,44.02,BOAT-ORD-202309-278240
192,180,3,5,200,24.99,10,499.8,4998.0,4498.2,2798.0,1700.2,37.8,BOAT-ORD-202306-816318
193,247,16,5,152,34.99,0,0.0,5318.48,5318.48,3038.48,2280.0,42.87,BOAT-ORD-202309-583550
194,654,9,4,136,12.99,0,0.0,1766.64,1766.64,950.64,816.0,46.19,BOAT-ORD-202410-943718
195,477,10,5,24,89.99,0,0.0,2159.76,2159.76,1319.76,840.0,38.89,BOAT-ORD-202404-563187
196,354,10,4,72,89.99,10,647.93,6479.28,5831.35,3959.28,1872.07,32.1,BOAT-ORD-202312-986365
197,310,7,4,248,22.99,0,0.0,5701.52,5701.52,3221.52,2480.0,43.5,BOAT-ORD-202311-348728
198,391,12,5,40,19.99,20,159.92,799.6,639.68,479.6,160.08,25.03,BOAT-ORD-202401-409571
199,23,13,3,8,29.99,15,35.99,239.92,203.93,135.92,68.01,33.35,BOAT-ORD-202301-819112
200,51,16,3,240,34.99,10,839.76,8397.6,7557.84,4797.6,2760.24,36.52,BOAT-ORD-202302-940886
201,361,8,2,320,17.99,5,287.84,5756.8,5468.96,3196.8,2272.16,41.55,BOAT-ORD-202312-810687
202,676,5,1,48,44.99,5,107.98,2159.52,2051.54,1199.52,852.02,41.53,BOAT-ORD-202411-926918
203,452,2,5,192,32.99,0,0.0,6334.08,6334.08,3454.08,2880.0,45.47,BOAT-ORD-202403-194511
204,303,11,4,48,64.99,0,0.0,3119.52,3119.52,1919.52,1200.0,38.47,BOAT-ORD-202310-238579
205,553,12,5,72,19.99,0,0.0,1439.28,1439.28,863.28,576.0,40.02,BOAT-ORD-202407-970813
206,169,9,4,208,12.99,0,0.0,2701.92,2701.92,1453.92,1248.0,46.19,BOAT-ORD-202306-882824
207,347,4,4,80,19.99,0,0.0,1599.2,1599.2,879.2,720.0,45.02,BOAT-ORD-202312-890785
208,232,13,5,48,29.99,0,0.0,1439.52,1439.52,815.52,624.0,43.35,BOAT-ORD-202308-929090
209,405,1,3,280,34.99,0,0.0,9797.2,9797.2,5317.2,4480.0,45.73,BOAT-ORD-202402-576877
210,378,9,5,104,12.99,25,337.74,1350.96,1013.22,726.96,286.26,28.25,BOAT-ORD-202401-769567
211,381,4,2,248,19.99,0,0.0,4957.52,4957.52,2725.52,2232.0,45.02,BOAT-ORD-202401-749641
212,575,11,5,32,64.99,0,0.0,2079.68,2079.68,1279.68,800.0,38.47,BOAT-ORD-202407-766269
213,476,10,4,16,89.99,0,0.0,1439.84,1439.84,879.84,560.0,38.89,BOAT-ORD-202404-147549
214,39,10,4,16,89.99,0,0.0,1439.84,1439.84,879.84,560.0,38.89,BOAT-ORD-202302-346205
215,551,5,4,240,44.99,0,0.0,10797.6,10797.6,5997.6,4800.0,44.45,BOAT-ORD-202407-803055
216,714,14,5,40,24.99,10,99.96,999.6,899.64,559.6,340.04,37.8,BOAT-ORD-202412-786735
217,102,16,5,424,34.99,0,0.0,14835.76,14835.76,8475.76,6360.0,42.87,BOAT-ORD-202304-134305
218,707,12,2,120,19.99,10,239.88,2398.8,2158.92,1438.8,720.12,33.36,BOAT-ORD-202412-347582
219,372,4,3,280,19.99,20,1119.44,5597.2,4477.76,3077.2,1400.56,31.28,BOAT-ORD-202401-476096
220,63,13,3,32,29.99,0,0.0,959.68,959.68,543.68,416.0,43.35,BOAT-ORD-202303-989227
221,466,3,2,336,24.99,10,839.66,8396.64,7556.98,4700.64,2856.34,37.8,BOAT-ORD-202404-122394
222,52,11,2,24,64.99,10,155.98,1559.76,1403.78,959.76,444.02,31.63,BOAT-ORD-202302-315173
223,71,7,5,56,22.99,0,0.0,1287.44,1287.44,727.44,560.0,43.5,BOAT-ORD-202303-444519
224,152,1,3,80,34.99,0,0.0,2799.2,2799.2,1519.2,1280.0,45.73,BOAT-ORD-202306-666456
225,257,6,1,344,27.99,0,0.0,9628.56,9628.56,5500.56,4128.0,42.87,BOAT-ORD-202309-238205
226,16,12,2,80,19.99,5,79.96,1599.2,1519.24,959.2,560.04,36.86,BOAT-ORD-202301-116547
227,179,9,1,40,12.99,5,25.98,519.6,493.62,279.6,214.02,43.36,BOAT-ORD-202306-651640
228,117,3,4,232,24.99,0,0.0,5797.68,5797.68,3245.68,2552.0,44.02,BOAT-ORD-202304-638169
229,608,4,4,264,19.99,0,0.0,5277.36,5277.36,2901.36,2376.0,45.02,BOAT-ORD-202408-744986
230,45,10,4,88,89.99,0,0.0,7919.12,7919.12,4839.12,3080.0,38.89,BOAT-ORD-202302-163780
231,491,13,4,88,29.99,0,0.0,2639.12,2639.12,1495.12,1144.0,43.35,BOAT-ORD-202405-614084
232,730,15,1,88,27.99,5,123.16,2463.12,2339.96,1407.12,932.84,39.87,BOAT-ORD-202412-737846
233,152,3,2,144,24.99,10,359.86,3598.56,3238.7,2014.56,1224.14,37.8,BOAT-ORD-202306-763829
234,600,11,4,80,64.99,10,519.92,5199.2,4679.28,3199.2,1480.08,31.63,BOAT-ORD-202408-409222
235,465,14,1,96,24.99,0,0.0,2399.04,2399.04,1343.04,1056.0,44.02,BOAT-ORD-202404-994217
236,671,7,4,232,22.99,0,0.0,5333.68,5333.68,3013.68,2320.0,43.5,BOAT-ORD-202411-533914
237,348,15,4,432,27.99,20,2418.34,12091.68,9673.34,6907.68,2765.66,28.59,BOAT-ORD-202312-199704
238,321,14,3,72,24.99,5,89.96,1799.28,1709.32,1007.28,702.04,41.07,BOAT-ORD-202311-260053
