procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
52,466,10,3,400,54.99,21996.0,12,478,97.7,PO-BOAT-2024-760529
53,103,5,2,400,24.99,9996.0,11,114,98.5,PO-BOAT-2023-676270
54,640,13,3,400,16.99,6796.0,18,658,98.7,PO-BOAT-2024-596395
55,347,8,4,400,9.99,3996.0,17,364,97.5,PO-BOAT-2023-353782
56,494,5,7,400,24.99,9996.0,7,501,92.9,PO-BOAT-2024-450187
57,361,1,1,400,18.99,7596.0,10,371,98.6,PO-BOAT-2023-819140
58,207,5,4,400,24.99,9996.0,14,221,96.4,PO-BOAT-2023-755388
59,140,13,6,400,16.99,6796.0,11,151,96.1,PO-BOAT-2023-804906
60,662,10,5,400,54.99,21996.0,18,680,95.7,PO-BOAT-2024-385949
61,49,11,7,400,39.99,15996.0,11,60,96.2,PO-BOAT-2023-123960
62,472,13,2,400,16.99,6796.0,16,488,97.0,PO-BOAT-2024-926235
63,133,13,6,400,16.99,6796.0,9,142,94.9,PO-BOAT-2023-280857
64,639,4,6,656,10.99,7209.44,9,648,94.6,PO-BOAT-2024-477863
65,645,8,1,632,9.99,6313.68,13,658,98.7,PO-BOAT-2024-553354
66,214,14,3,400,13.99,5596.0,14,228,98.8,PO-BOAT-2023-368486
67,162,14,2,400,13.99,5596.0,11,173,97.1,PO-BOAT-2023-167769
68,383,1,5,696,18.99,13217.04,17,400,95.2,PO-BOAT-2024-449881
69,727,1,1,688,18.99,13065.12,9,731,96.9,PO-BOAT-2024-284478
70,702,5,3,400,24.99,9996.0,8,710,97.5,PO-BOAT-2024-742828
71,226,16,4,400,19.99,7996.0,15,241,96.5,PO-BOAT-2023-156068
72,583,14,4,400,13.99,5596.0,8,591,96.7,PO-BOAT-2024-890851
73,466,9,7,400,6.99,2796.0,14,480,93.0,PO-BOAT-2024-318628
74,686,16,7,640,19.99,12793.6,11,697,95.2,PO-BOAT-2024-850894
75,349,9,2,400,6.99,2796.0,11,360,95.2,PO-BOAT-2023-103964
76,238,13,1,400,16.99,6796.0,17,255,96.9,PO-BOAT-2023-740468
77,215,11,5,400,39.99,15996.0,9,224,95.8,PO-BOAT-2023-415125
78,229,8,4,400,9.99,3996.0,8,237,99.9,PO-BOAT-2023-668747
79,541,15,2,400,15.99,6396.0,8,549,95.9,PO-BOAT-2024-474580
80,102,13,5,400,16.99,6796.0,17,119,94.1,PO-BOAT-2023-949053
81,511,12,2,400,11.99,4796.0,18,529,98.7,PO-BOAT-2024-485288
82,123,15,5,400,15.99,6396.0,17,140,95.2,PO-BOAT-2023-707822
83,367,4,3,400,10.99,4396.0,11,378,99.3,PO-BOAT-2024-684711
84,725,1,6,400,18.99,7596.0,9,731,97.3,PO-BOAT-2024-655641
85,41,3,5,1168,13.99,16340.32,18,59,95.4,PO-BOAT-2023-421379
86,375,7,6,400,12.99,5196.0,5,380,96.7,PO-BOAT-2024-110201
87,397,6,7,400,15.99,6396.0,12,409,94.8,PO-BOAT-2024-243279
88,441,4,6,464,10.99,5099.36,14,455,94.6,PO-BOAT-2024-178244
89,231,12,4,400,11.99,4796.0,12,243,97.3,PO-BOAT-2023-265612
90,220,13,4,400,16.99,6796.0,11,231,99.3,PO-BOAT-2023-786433
91,268,7,6,400,12.99,5196.0,13,281,94.8,PO-BOAT-2023-588482
92,551,2,2,424,17.99,7627.76,14,565,97.8,PO-BOAT-2024-611092
93,673,5,5,1416,24.99,35385.84,17,690,95.6,PO-BOAT-2024-972535
94,722,1,3,400,18.99,7596.0,9,731,99.4,PO-BOAT-2024-557388
95,604,9,4,400,6.99,2796.0,11,615,97.9,PO-BOAT-2024-664526
96,35,16,4,528,19.99,10554.72,11,46,96.0,PO-BOAT-2023-497829
97,138,1,6,448,18.99,8507.52,14,152,95.3,PO-BOAT-2023-750566
98,699,15,7,400,15.99,6396.0,9,708,93.3,PO-BOAT-2024-432129
99,526,14,4,400,13.99,5596.0,7,533,96.5,PO-BOAT-2024-399537
100,333,11,1,400,39.99,15996.0,7,340,97.3,PO-BOAT-2023-207253
101,644,2,5,592,17.99,10650.08,11,655,94.5,PO-BOAT-2024-821919
102,329,7,2,400,12.99,5196.0,9,338,96.5,PO-BOAT-2023-559069
103,115,5,5,400,24.99,9996.0,13,128,94.4,PO-BOAT-2023-474975
104,582,16,3,400,19.99,7996.0,12,594,97.0,PO-BOAT-2024-166165
105,563,7,6,400,12.99,5196.0,10,573,95.8,PO-BOAT-2024-487321
106,575,13,4,400,16.99,6796.0,8,583,99.2,PO-BOAT-2024-600327
107,125,15,1,984,15.99,15734.16,18,143,95.8,PO-BOAT-2023-796339
108,717,4,6,880,10.99,9671.2,6,723,97.4,PO-BOAT-2024-572919
109,285,4,3,464,10.99,5099.36,14,299,100.0,PO-BOAT-2023-107142
110,704,1,2,400,18.99,7596.0,18,722,98.8,PO-BOAT-2024-991243
111,650,5,4,568,24.99,14194.32,16,666,97.8,PO-BOAT-2024-764396
112,657,8,6,400,9.99,3996.0,5,662,94.2,PO-BOAT-2024-403483
113,251,4,5,400,10.99,4396.0,15,266,96.0,PO-BOAT-2023-265741
114,226,15,7,872,15.99,13943.28,9,235,93.0,PO-BOAT-2023-100090
115,84,15,4,400,15.99,6396.0,12,96,97.0,PO-BOAT-2023-826098
116,476,4,5,400,10.99,4396.0,9,485,97.2,PO-BOAT-2024-428301
117,388,8,7,400,9.99,3996.0,8,396,94.3,PO-BOAT-2024-856932
118,62,15,1,648,15.99,10361.52,8,70,95.8,PO-BOAT-2023-684174
119,630,9,6,400,6.99,2796.0,5,635,97.6,PO-BOAT-2024-455427
120,515,7,1,400,12.99,5196.0,10,525,99.2,PO-BOAT-2024-842110
121,251,3,1,400,13.99,5596.0,17,268,97.1,PO-BOAT-2023-970872
122,52,14,2,400,13.99,5596.0,10,62,98.0,PO-BOAT-2023-836921
123,642,8,7,400,9.99,3996.0,12,654,96.9,PO-BOAT-2024-736434
124,154,8,4,400,9.99,3996.0,11,165,99.6,PO-BOAT-2023-983613
125,608,4,3,880,10.99,9671.2,12,620,96.2,PO-BOAT-2024-386643
126,42,6,2,408,15.99,6523.92,11,53,97.8,PO-BOAT-2023-505578
127,151,1,5,896,18.99,17015.04,18,169,95.5,PO-BOAT-2023-893637
128,409,8,1,400,9.99,3996.0,12,421,98.9,PO-BOAT-2024-211037
129,305,12,6,400,11.99,4796.0,12,317,94.2,PO-BOAT-2023-221434
130,290,13,3,400,16.99,6796.0,8,298,97.7,PO-BOAT-2023-487023
131,88,8,5,400,9.99,3996.0,14,102,96.2,PO-BOAT-2023-446364
132,411,4,3,448,10.99,4923.52,9,420,97.7,PO-BOAT-2024-873866
133,398,6,5,728,15.99,11640.72,7,405,94.6,PO-BOAT-2024-869782
134,149,4,3,400,10.99,4396.0,11,160,99.0,PO-BOAT-2023-754448
135,706,4,3,632,10.99,6945.68,14,720,99.2,PO-BOAT-2024-119694
136,19,3,5,448,13.99,6267.52,7,26,93.8,PO-BOAT-2023-958929
137,621,10,1,400,54.99,21996.0,17,638,97.2,PO-BOAT-2024-908355
138,178,7,2,400,12.99,5196.0,16,194,98.6,PO-BOAT-2023-565824
139,231,5,1,400,24.99,9996.0,13,244,98.4,PO-BOAT-2023-797600
140,133,16,5,1104,19.99,22068.96,7,140,95.3,PO-BOAT-2023-500715
141,448,16,6,400,19.99,7996.0,5,453,94.0,PO-BOAT-2024-660856
142,491,13,1,400,16.99,6796.0,12,503,97.8,PO-BOAT-2024-261650
143,165,10,6,400,54.99,21996.0,12,177,95.4,PO-BOAT-2023-873008
144,376,14,1,400,13.99,5596.0,8,384,99.0,PO-BOAT-2024-921483
145,569,16,1,408,19.99,8155.92,14,583,97.2,PO-BOAT-2024-184229
146,57,2,6,400,17.99,7196.0,6,63,96.6,PO-BOAT-2023-662964
147,269,9,1,400,6.99,2796.0,14,283,97.7,PO-BOAT-2023-287715
148,223,15,5,840,15.99,13431.6,14,237,95.2,PO-BOAT-2023-655193
149,297,12,6,400,11.99,4796.0,5,302,95.5,PO-BOAT-2023-611814
150,409,2,2,408,17.99,7339.92,9,418,98.0,PO-BOAT-2024-285468
151,444,15,5,400,15.99,6396.0,8,452,94.5,PO-BOAT-2024-111191
152,648,13,6,400,16.99,6796.0,10,658,94.4,PO-BOAT-2024-285289
153,52,1,6,560,18.99,10634.4,8,60,94.6,PO-BOAT-2023-969010
154,23,13,4,400,16.99,6796.0,18,41,96.1,PO-BOAT-2023-649325
155,271,15,6,1232,15.99,19699.68,5,276,95.2,PO-BOAT-2023-712365
156,350,7,7,400,12.99,5196.0,12,362,95.4,PO-BOAT-2023-910814
157,279,11,4,400,39.99,15996.0,15,294,96.0,PO-BOAT-2023-284933
158,713,13,6,400,16.99,6796.0,11,724,97.0,PO-BOAT-2024-163782
159,218,6,5,400,15.99,6396.0,7,225,96.9,PO-BOAT-2023-665934
160,730,15,1,552,15.99,8826.48,17,731,95.7,PO-BOAT-2024-173257
161,687,7,7,400,12.99,5196.0,5,692,95.8,PO-BOAT-2024-517560
162,697,1,6,400,18.99,7596.0,10,707,97.5,PO-BOAT-2024-749126
163,195,3,3,400,13.99,5596.0,12,207,96.7,PO-BOAT-2023-559393
164,1,4,4,400,10.99,4396.0,13,14,96.5,PO-BOAT-2023-700352
165,318,3,4,840,13.99,11751.6,15,333,99.3,PO-BOAT-2023-882458
166,512,9,2,400,6.99,2796.0,9,521,97.9,PO-BOAT-2024-355296
167,254,8,7,448,9.99,4475.52,7,261,96.1,PO-BOAT-2023-748889
168,370,5,2,400,24.99,9996.0,12,382,95.0,PO-BOAT-2024-676276
169,612,5,1,400,24.99,9996.0,16,628,97.3,PO-BOAT-2024-939654
170,503,12,4,400,11.99,4796.0,17,520,99.3,PO-BOAT-2024-622209
171,196,13,1,400,16.99,6796.0,10,206,98.0,PO-BOAT-2023-401473
172,655,10,1,400,54.99,21996.0,17,672,95.5,PO-BOAT-2024-508430
173,529,5,3,424,24.99,10595.76,10,539,99.4,PO-BOAT-2024-891933
174,712,5,7,808,24.99,20191.92,5,717,95.9,PO-BOAT-2024-390091
175,267,7,4,400,12.99,5196.0,12,279,99.2,PO-BOAT-2023-849279
176,20,11,4,400,39.99,15996.0,18,38,99.3,PO-BOAT-2023-759256
177,392,1,4,400,18.99,7596.0,16,408,99.3,PO-BOAT-2024-816430
178,76,15,2,504,15.99,8058.96,7,83,95.9,PO-BOAT-2023-590186
179,627,2,5,464,17.99,8347.36,12,639,96.5,PO-BOAT-2024-961337
180,425,5,2,400,24.99,9996.0,9,434,96.8,PO-BOAT-2024-655501
181,220,14,5,400,13.99,5596.0,13,233,94.6,PO-BOAT-2023-219099
182,478,16,2,400,19.99,7996.0,7,485,96.1,PO-BOAT-2024-761208
183,170,13,7,400,16.99,6796.0,14,184,95.1,PO-BOAT-2023-443694
184,565,6,4,400,15.99,6396.0,15,580,97.9,PO-BOAT-2024-100249
185,362,16,5,1136,19.99,22708.64,7,369,95.0,PO-BOAT-2023-635320
186,519,8,2,400,9.99,3996.0,14,533,95.5,PO-BOAT-2024-430022
187,320,13,2,400,16.99,6796.0,9,329,98.6,PO-BOAT-2023-478251
188,568,5,1,664,24.99,16593.36,7,575,96.0,PO-BOAT-2024-445480
189,247,13,2,400,16.99,6796.0,14,261,97.0,PO-BOAT-2023-597007
190,370,5,6,400,24.99,9996.0,5,375,96.7,PO-BOAT-2024-228015
191,297,7,2,400,12.99,5196.0,18,315,95.3,PO-BOAT-2023-656372
192,121,16,6,1152,19.99,23028.48,10,131,96.8,PO-BOAT-2023-961633
193,44,2,3,400,17.99,7196.0,18,62,99.8,PO-BOAT-2023-103398
194,669,13,4,400,16.99,6796.0,11,680,98.8,PO-BOAT-2024-491833
195,308,2,1,400,17.99,7196.0,10,318,96.4,PO-BOAT-2023-909172
196,151,3,2,400,13.99,5596.0,9,160,97.9,PO-BOAT-2023-501262
197,590,1,5,608,18.99,11545.92,11,601,95.3,PO-BOAT-2024-635747
198,83,13,4,400,16.99,6796.0,16,99,99.6,PO-BOAT-2023-807144
199,119,5,3,400,24.99,9996.0,7,126,97.6,PO-BOAT-2023-153722
200,346,2,3,808,17.99,14535.92,7,353,97.9,PO-BOAT-2023-255935
201,560,9,3,400,6.99,2796.0,10,570,98.0,PO-BOAT-2024-739362
202,195,1,7,400,18.99,7596.0,10,205,95.0,PO-BOAT-2023-953647
203,256,16,1,552,19.99,11034.48,13,269,97.8,PO-BOAT-2023-298907
204,713,7,4,400,12.99,5196.0,12,725,98.6,PO-BOAT-2024-304429
205,241,15,1,400,15.99,6396.0,12,253,98.3,PO-BOAT-2023-725140
206,410,9,7,400,6.99,2796.0,13,423,95.9,PO-BOAT-2024-486043
207,516,9,1,400,6.99,2796.0,8,524,99.2,PO-BOAT-2024-500004
208,576,15,6,400,15.99,6396.0,6,582,95.9,PO-BOAT-2024-747358
209,190,2,5,400,17.99,7196.0,10,200,94.5,PO-BOAT-2023-806518
210,336,5,7,400,24.99,9996.0,9,345,93.5,PO-BOAT-2023-964751
211,383,6,2,432,15.99,6907.68,15,398,96.9,PO-BOAT-2024-895765
212,308,16,2,400,19.99,7996.0,7,315,97.9,PO-BOAT-2023-440153
213,515,11,1,400,39.99,15996.0,9,524,97.5,PO-BOAT-2024-371062
214,651,7,1,400,12.99,5196.0,15,666,99.2,PO-BOAT-2024-497970
215,453,10,4,400,54.99,21996.0,14,467,98.5,PO-BOAT-2024-507579
216,449,13,1,400,16.99,6796.0,14,463,98.4,PO-BOAT-2024-735410
217,628,15,4,400,15.99,6396.0,15,643,96.0,PO-BOAT-2024-315124
218,50,14,4,400,13.99,5596.0,15,65,99.0,PO-BOAT-2023-254385
219,283,9,2,400,6.99,2796.0,16,299,96.6,PO-BOAT-2023-197903
220,180,10,5,400,54.99,21996.0,9,189,94.7,PO-BOAT-2023-624272
221,598,5,1,400,24.99,9996.0,8,606,97.6,PO-BOAT-2024-515418
222,198,3,2,400,13.99,5596.0,17,215,97.3,PO-BOAT-2023-934743
223,187,13,6,400,16.99,6796.0,8,195,95.4,PO-BOAT-2023-653020
224,464,10,6,400,54.99,21996.0,6,470,97.3,PO-BOAT-2024-670889
225,446,8,5,400,9.99,3996.0,13,459,96.9,PO-BOAT-2024-628690
226,724,9,6,592,6.99,4138.08,7,731,95.7,PO-BOAT-2024-149230
227,565,5,3,400,24.99,9996.0,9,574,98.3,PO-BOAT-2024-379193
228,420,13,4,400,16.99,6796.0,13,433,98.1,PO-BOAT-2024-178725
229,473,11,6,400,39.99,15996.0,9,482,94.2,PO-BOAT-2024-740833
230,215,12,5,400,11.99,4796.0,14,229,93.5,PO-BOAT-2023-229301
231,721,12,1,400,11.99,4796.0,11,731,97.7,PO-BOAT-2024-104597
232,191,16,5,928,19.99,18550.72,18,209,94.5,PO-BOAT-2023-656487
233,714,2,4,568,17.99,10218.32,11,725,99.5,PO-BOAT-2024-659922
234,677,7,2,400,12.99,5196.0,12,689,97.0,PO-BOAT-2024-825667
235,196,13,4,400,16.99,6796.0,13,209,96.1,PO-BOAT-2023-204814
236,585,5,2,400,24.99,9996.0,18,603,94.9,PO-BOAT-2024-837392
237,402,5,4,400,24.99,9996.0,7,409,97.2,PO-BOAT-2024-771055
238,720,5,5,400,24.99,9996.0,17,731,94.7,PO-BOAT-2024-771450
239,631,8,1,400,9.99,3996.0,7,638,98.9,PO-BOAT-2024-321928
240,309,11,4,400,39.99,15996.0,17,326,99.0,PO-BOAT-2023-840335
241,731,16,7,648,19.99,12953.52,11,731,95.8,PO-BOAT-2024-651429
242,493,3,5,400,13.99,5596.0,8,501,94.8,PO-BOAT-2024-435579
243,412,7,4,400,12.99,5196.0,10,422,98.4,PO-BOAT-2024-560963
244,34,8,2,400,9.99,3996.0,9,43,98.7,PO-BOAT-2023-225243
245,373,16,7,528,19.99,10554.72,7,380,94.0,PO-BOAT-2024-723064
246,420,9,5,400,6.99,2796.0,10,430,94.3,PO-BOAT-2024-216613
247,144,15,4,400,15.99,6396.0,10,154,98.8,PO-BOAT-2023-140915
248,188,16,3,536,19.99,10714.64,13,201,97.9,PO-BOAT-2023-133581
249,350,2,5,616,17.99,11081.84,14,364,95.6,PO-BOAT-2023-849713
250,553,5,4,400,24.99,9996.0,8,561,97.2,PO-BOAT-2024-570832
251,703,4,3,400,10.99,4396.0,8,711,98.5,PO-BOAT-2024-831875
252,341,12,4,400,11.99,4796.0,13,354,97.3,PO-BOAT-2023-231297
253,163,13,3,400,16.99,6796.0,11,174,96.8,PO-BOAT-2023-450329
254,713,13,5,400,16.99,6796.0,9,722,95.9,PO-BOAT-2024-700366
255,728,5,5,400,24.99,9996.0,9,731,97.4,PO-BOAT-2024-540426
256,260,9,4,400,6.99,2796.0,17,277,96.0,PO-BOAT-2023-429707
257,315,8,7,432,9.99,4315.68,7,322,94.7,PO-BOAT-2023-344720
258,520,3,5,400,13.99,5596.0,10,530,97.5,PO-BOAT-2024-746078
259,644,14,2,400,13.99,5596.0,17,661,97.8,PO-BOAT-2024-650226
260,657,16,4,608,19.99,12153.92,11,668,97.6,PO-BOAT-2024-625329
261,620,9,6,400,6.99,2796.0,11,631,97.7,PO-BOAT-2024-163329
262,161,4,2,400,10.99,4396.0,11,172,97.4,PO-BOAT-2023-154322
263,707,8,5,440,9.99,4395.6,17,724,97.2,PO-BOAT-2024-840329
264,335,14,3,400,13.99,5596.0,13,348,96.8,PO-BOAT-2023-343075
265,453,6,6,904,15.99,14454.96,5,458,94.0,PO-BOAT-2024-180896
266,385,2,2,552,17.99,9930.48,11,396,98.2,PO-BOAT-2024-767625
267,116,5,7,400,24.99,9996.0,6,122,94.0,PO-BOAT-2023-921232
268,397,12,1,400,11.99,4796.0,7,404,95.7,PO-BOAT-2024-211547
269,280,10,4,400,54.99,21996.0,16,296,99.4,PO-BOAT-2023-423911
270,40,1,3,432,18.99,8203.68,10,50,96.3,PO-BOAT-2023-200753
271,684,5,4,400,24.99,9996.0,13,697,96.4,PO-BOAT-2024-870905
272,175,1,7,400,18.99,7596.0,7,182,96.1,PO-BOAT-2023-104454
273,271,4,6,416,10.99,4571.84,7,278,95.2,PO-BOAT-2023-807560
274,405,10,5,400,54.99,21996.0,14,419,96.2,PO-BOAT-2024-964582
275,372,5,2,400,24.99,9996.0,10,382,95.4,PO-BOAT-2024-531663
276,59,7,4,400,12.99,5196.0,13,72,98.2,PO-BOAT-2023-211136
277,432,13,1,400,16.99,6796.0,15,447,98.2,PO-BOAT-2024-523641
278,399,6,7,856,15.99,13687.44,12,411,93.3,PO-BOAT-2024-801440
279,627,10,3,400,54.99,21996.0,7,634,99.8,PO-BOAT-2024-526923
280,125,13,3,400,16.99,6796.0,13,138,99.7,PO-BOAT-2023-369730
281,511,1,2,400,18.99,7596.0,11,522,97.9,PO-BOAT-2024-534002
282,135,1,3,400,18.99,7596.0,17,152,99.7,PO-BOAT-2023-163829
283,588,15,7,400,15.99,6396.0,12,600,96.5,PO-BOAT-2024-804549
284,668,4,7,520,10.99,5714.8,11,679,93.0,PO-BOAT-2024-633039
285,176,6,3,808,15.99,12919.92,10,186,98.9,PO-BOAT-2023-676123
286,587,8,5,400,9.99,3996.0,16,603,96.1,PO-BOAT-2024-688188
287,610,13,4,400,16.99,6796.0,18,628,96.6,PO-BOAT-2024-372975
288,287,13,6,400,16.99,6796.0,10,297,94.5,PO-BOAT-2023-927707
289,536,10,5,400,54.99,21996.0,9,545,96.6,PO-BOAT-2024-152149
290,568,10,7,400,54.99,21996.0,9,577,95.8,PO-BOAT-2024-121464
291,212,5,6,400,24.99,9996.0,7,219,96.2,PO-BOAT-2023-619053
292,333,5,4,400,24.99,9996.0,11,344,96.8,PO-BOAT-2023-913386
293,148,13,6,400,16.99,6796.0,9,157,95.2,PO-BOAT-2023-578726
294,303,8,5,400,9.99,3996.0,14,317,96.3,PO-BOAT-2023-866992
295,157,8,3,400,9.99,3996.0,14,171,99.8,PO-BOAT-2023-235768
296,400,14,3,400,13.99,5596.0,18,418,97.2,PO-BOAT-2024-750490
297,676,6,4,432,15.99,6907.68,18,694,99.1,PO-BOAT-2024-321343
298,717,16,6,640,19.99,12793.6,5,722,95.4,PO-BOAT-2024-758315
299,652,2,7,720,17.99,12952.8,5,657,95.3,PO-BOAT-2024-563777
300,212,15,5,400,15.99,6396.0,16,228,95.5,PO-BOAT-2023-707062
301,217,11,5,400,39.99,15996.0,11,228,94.0,PO-BOAT-2023-234927
302,421,7,5,456,12.99,5923.44,12,433,97.3,PO-BOAT-2024-592656
303,296,2,7,400,17.99,7196.0,7,303,94.0,PO-BOAT-2023-720903
304,178,7,1,400,12.99,5196.0,14,192,97.8,PO-BOAT-2023-695461
305,194,7,1,400,12.99,5196.0,15,209,98.5,PO-BOAT-2023-339698
306,88,7,3,400,12.99,5196.0,13,101,97.5,PO-BOAT-2023-222658
307,414,11,6,400,39.99,15996.0,9,423,94.6,PO-BOAT-2024-378122
308,667,8,3,536,9.99,5354.64,18,685,96.3,PO-BOAT-2024-909681
309,146,5,1,400,24.99,9996.0,8,154,99.3,PO-BOAT-2023-350966
310,570,12,5,400,11.99,4796.0,10,580,94.8,PO-BOAT-2024-571649
311,164,5,5,416,24.99,10395.84,11,175,96.9,PO-BOAT-2023-749464
312,419,14,1,400,13.99,5596.0,18,437,98.4,PO-BOAT-2024-229511
313,534,8,2,400,9.99,3996.0,8,542,98.0,PO-BOAT-2024-291352
314,327,9,4,400,6.99,2796.0,17,344,97.9,PO-BOAT-2023-434848
315,31,16,3,400,19.99,7996.0,15,46,98.1,PO-BOAT-2023-327970
316,214,12,7,400,11.99,4796.0,5,219,94.9,PO-BOAT-2023-487891
317,675,8,7,400,9.99,3996.0,10,685,96.7,PO-BOAT-2024-856582
318,148,13,1,400,16.99,6796.0,13,161,98.2,PO-BOAT-2023-294513
319,41,3,4,1184,13.99,16564.16,18,59,98.5,PO-BOAT-2023-900046
320,221,4,2,400,10.99,4396.0,9,230,94.8,PO-BOAT-2023-906349
321,122,13,4,400,16.99,6796.0,18,140,97.9,PO-BOAT-2023-604641
322,203,16,5,1072,19.99,21429.28,17,220,94.5,PO-BOAT-2023-733618
323,453,12,5,400,11.99,4796.0,9,462,96.3,PO-BOAT-2024-783427
324,62,10,2,400,54.99,21996.0,10,72,96.4,PO-BOAT-2023-944668
325,322,12,1,400,11.99,4796.0,11,333,96.6,PO-BOAT-2023-811839
326,165,15,7,400,15.99,6396.0,13,178,96.6,PO-BOAT-2023-574348
327,332,2,6,888,17.99,15975.12,7,339,95.4,PO-BOAT-2023-253938
328,131,9,6,520,6.99,3634.8,10,141,94.2,PO-BOAT-2023-732582
329,241,12,6,400,11.99,4796.0,9,250,95.6,PO-BOAT-2023-939864
330,373,4,5,400,10.99,4396.0,8,381,94.9,PO-BOAT-2024-447595
331,659,14,6,400,13.99,5596.0,6,665,97.7,PO-BOAT-2024-567634
332,644,11,5,400,39.99,15996.0,17,661,94.4,PO-BOAT-2024-413271
333,68,15,7,400,15.99,6396.0,6,74,95.4,PO-BOAT-2023-543569
334,644,2,6,592,17.99,10650.08,10,654,96.3,PO-BOAT-2024-249419
335,648,2,1,528,17.99,9498.72,7,655,96.2,PO-BOAT-2024-654008
336,278,4,4,400,10.99,4396.0,16,294,97.3,PO-BOAT-2023-956067
337,353,11,7,400,39.99,15996.0,12,365,93.1,PO-BOAT-2023-105241
338,528,7,3,400,12.99,5196.0,12,540,97.1,PO-BOAT-2024-783510
